I,phi_p
0.001,7.540167700838504e-05
0.002,7.807824039120196e-05
0.003,8.022745113725569e-05
0.004,8.21279106395532e-05
0.005,8.385921929609648e-05
0.006,8.547112735563677e-05
0.007,8.700343501717508e-05
0.008,8.84760423802119e-05
0.009000000000000001,8.989889949449747e-05
0.010000000000000002,9.12720063600318e-05
0.011,9.261526307631538e-05
0.012,9.392866964334822e-05
0.013000000000000001,9.522217611088055e-05
0.014000000000000002,9.648583242916215e-05
0.015,9.773953869769349e-05
0.016,9.897334486672433e-05
0.017,0.00010019720098600493
0.018000000000000002,0.00010141110705553528
0.019000000000000003,0.00010261506307531538
0.02,0.00010380906904534523
0.021,0.00010500307501537508
0.022000000000000002,0.00010617718088590442
0.023,0.00010736123680618403
0.024,0.00010853534267671338
0.025,0.00010970944854724274
0.026000000000000002,0.00011087360436802184
0.027000000000000003,0.00011203776018880094
0.028,0.00011320191600958005
0.029,0.0001143760218801094
0.030000000000000002,0.0001155401777008885
0.031,0.00011670433352166761
0.032,0.00011786848934244671
0.033,0.00011904259521297606
0.034,0.00012020675103375517
0.035,0.00012138085690428452
0.036000000000000004,0.00012255496277481387
0.037000000000000005,0.00012372906864534323
0.038,0.00012491312456562283
0.039,0.00012609718048590244
0.04,0.0001272911864559323
0.041,0.0001284752423762119
0.042,0.000129679198395992
0.043000000000000003,0.00013087320436602185
0.044000000000000004,0.00013208711043555217
0.045,0.00013329106645533227
0.046,0.00013451492257461286
0.047,0.00013573877869389346
0.048,0.00013696263481317405
0.049,0.0001381964409822049
0.05,0.00013944019720098602
0.051000000000000004,0.0001406839534197671
0.052000000000000005,0.00014193765968829845
0.053000000000000005,0.00014320131600658003
0.054,0.00014447492237461187
0.055,0.0001457485287426437
0.056,0.00014703208516042581
0.057,0.00014832559162795815
0.058,0.00014962904814524072
0.059000000000000004,0.0001509325046625233
0.060000000000000005,0.00015224591122955616
0.061,0.00015357921789608948
0.062,0.0001549125245626228
0.063,0.0001562557812789064
0.064,0.00015760898804494022
0.065,0.0001589721448607243
0.066,0.00016034525172625862
0.067,0.0001617283086415432
0.068,0.00016312131560657802
0.069,0.0001645242726213631
0.07,0.00016594712973564869
0.07100000000000001,0.00016736998684993424
0.07200000000000001,0.00016880279401397007
0.07300000000000001,0.0001702555012775064
0.074,0.00017171815859079296
0.075,0.00017319076595382978
0.076,0.00017467332336661682
0.077,0.00017616583082915414
0.078,0.00017767823839119195
0.079,0.00017920059600298
0.08,0.00018074285371426856
0.081,0.00018228511142555712
0.082,0.0001838472692363462
0.083,0.00018542932714663574
0.084,0.00018702133510667553
0.085,0.00018862329311646557
0.08600000000000001,0.00019024515122575614
0.08700000000000001,0.00019187695938479692
0.08800000000000001,0.0001935286676433382
0.089,0.00019519032595162976
0.09,0.00019687188435942179
0.091,0.00019857334286671433
0.092,0.00020028475142375713
0.093,0.0002020160600803004
0.094,0.00020376726883634418
0.095,0.00020552842764213821
0.096,0.00020730948654743274
0.097,0.00020911044555222777
0.098,0.0002109313046565233
0.099,0.0002127720638603193
0.1,0.00021463272316361582
0.101,0.00021650333251666258
0.10200000000000001,0.0002184037920189601
0.10300000000000001,0.00022031420157100784
0.10400000000000001,0.00022225446127230637
0.10500000000000001,0.00022421462107310536
0.106,0.00022619468097340487
0.107,0.00022819464097320486
0.108,0.00023021450107250536
0.109,0.0002322642113210566
0.11,0.00023433382166910836
0.111,0.00023642333211666057
0.112,0.00023854269271346356
0.113,0.00024068195340976704
0.114,0.0002428510642553213
0.115,0.000245040075200376
0.116,0.00024724898624493125
0.117,0.00024949769748848743
0.11800000000000001,0.00025176630883154416
0.11900000000000001,0.0002540647703238516
0.12000000000000001,0.0002563930819654099
0.121,0.00025874129370646854
0.122,0.00026112930564652824
0.123,0.00026353721768608844
0.124,0.00026598492992464963
0.125,0.0002684525422627113
0.126,0.00027095995479977405
0.127,0.00027349721748608745
0.128,0.0002760643303216516
0.129,0.0002786712433562168
0.13,0.00028130800654003275
0.131,0.0002839845699228496
0.132,0.0002866909834549173
0.133,0.00028943719718598594
0.134,0.0002922232111160556
0.135,0.000295039075195376
0.136,0.00029790468952344766
0.137,0.00030080015400077003
0.138,0.00030374536872684367
0.139,0.000306720433602168
0.14,0.00030974524872624365
0.14100000000000001,0.00031281981409907053
0.14200000000000002,0.00031592422962114814
0.14300000000000002,0.00031908834544172723
0.14400000000000002,0.0003222922614613073
0.14500000000000002,0.00032554592772963866
0.146,0.0003288493442467213
0.147,0.00033219256096280483
0.148,0.00033559547797738993
0.149,0.00033904814524072624
0.15,0.00034256051280256403
0.151,0.0003461226306131531
0.152,0.00034974444872224364
0.153,0.00035341601708008545
0.154,0.000357157235786179
0.155,0.0003609482047410237
0.156,0.00036480882404412026
0.157,0.00036872914364571824
0.158,0.000372719113595568
0.159,0.0003767687838439192
0.16,0.0003808980544902725
0.161,0.0003850870254351272
0.162,0.00038935559677798394
0.163,0.0003936938184690924
0.164,0.0003981116405582028
0.165,0.000402599112995565
0.166,0.0004071761358806794
0.167,0.00041183275916379584
0.168,0.0004165789328946645
0.169,0.00042140470702353516
0.17,0.00042632998164990826
0.171,0.0004313348566742834
0.17200000000000001,0.0004364491822459113
0.17300000000000001,0.0004416530582652914
0.17400000000000002,0.00044695643478217395
0.17500000000000002,0.0004523692618463093
0.17600000000000002,0.0004578815894079471
0.177,0.00046351331756658786
0.178,0.0004692544962724814
0.179,0.0004751051255256277
0.18,0.00048108510542552716
0.181,0.0004871844859224296
0.182,0.0004934231671158356
0.183,0.0004997812489062446
0.184,0.0005062885814429072
0.185,0.0005129252646263231
0.186,0.0005197111985559928
0.187,0.0005266563332816664
0.188,0.0005337507187535938
0.189,0.0005410043050215252
0.19,0.0005484369921849609
0.191,0.0005560288801444008
0.192,0.0005638098190490952
0.193,0.0005717698588492943
0.194,0.0005799288996444983
0.195,0.0005882869414347072
0.196,0.0005968439842199212
0.197,0.0006056199280996405
0.198,0.0006146247231236156
0.199,0.0006238583692918465
0.2,0.0006333308166540833
0.201,0.0006430619653098265
0.202,0.0006530418652093261
0.203,0.0006633003665018325
0.20400000000000001,0.0006738474192370962
0.20500000000000002,0.0006846830234151171
0.20600000000000002,0.0006958270791353957
0.20700000000000002,0.0007072895364476822
0.20800000000000002,0.0007190902954514773
0.20900000000000002,0.000731239306196531
0.21,0.0007437564687823439
0.211,0.0007566616833084165
0.212,0.0007699549497747489
0.213,0.0007836760683803419
0.214,0.0007978349891749459
0.215,0.0008124516122580614
0.216,0.000827555787778939
0.217,0.0008431773658868295
0.218,0.0008593262966314831
0.219,0.0008760324301621508
0.22,0.0008933355666778334
0.221,0.0009112755063775319
0.222,0.0009298621993109966
0.223,0.0009491553457767289
0.224,0.0009691847959239796
0.225,0.0009899903499517497
0.226,0.0010116217581087907
0.227,0.0010341387206936035
0.228,0.0010575909879549398
0.229,0.0010820283101415507
0.23,0.001107520337601688
0.231,0.0011341466707333538
0.232,0.0011619670098350493
0.233,0.001191080855404277
0.234,0.0012215777578887894
0.23500000000000001,0.0012535472677363388
0.23600000000000002,0.0012871087855439278
0.23700000000000002,0.0013223817119085595
0.23800000000000002,0.0013595053475267376
0.23900000000000002,0.0013986189930949655
0.24000000000000002,0.0014398917994589973
0.241,0.0014835128175640878
0.242,0.0015296909984549923
0.243,0.0015786452432262161
0.244,0.001630644203221016
0.245,0.0016859764298821495
0.246,0.0017449901749508748
0.247,0.0018080436402182012
0.248,0.0018755746278731394
0.249,0.001948080640403202
